Tipo_de_Punto,Lugar,Direccion,Residuos_Aceptados,Dias,Horarios,Latitud,Longitud
Contenedor en vía pública,Metálico Naranja Lateral,PRIMERO DE MAYO 1391,Reciclables,Lunes a Domingos,19:00 a 21:00,6353999.756,5440947.987
Contenedor en vía pública,Metálico Naranja Lateral,SANTIAGO 244,Reciclables,Lunes a Domingos,19:00 a 21:00,6356041.433,5438802.676
Contenedor en vía pública,Metálico Naranja Lateral,CHACABUCO 1383,Reciclables,Lunes a Domingos,19:00 a 21:00,6353885.865,5441597.336
Contenedor en vía pública,Metálico Naranja Lateral,PRIMERO DE MAYO 3407,Reciclables,Lunes a Domingos,19:00 a 21:00,6351429.247,5440437.819
Contenedor en vía pública,Metálico Naranja Lateral,AYOLAS JUAN DE 297,Reciclables,Lunes a Domingos,19:00 a 21:00,6351376.05,5440686.131
Contenedor en vía pública,Metálico Naranja Lateral,OCAMPO 1289,Reciclables,Lunes a Domingos,19:00 a 21:00,6352805.889,5439619.372
Contenedor en vía pública,Metálico Naranja Lateral,ITUZAINGO 1985,Reciclables,Lunes a Domingos,19:00 a 21:00,6353626.763,5438854.894
Contenedor en vía pública,Metálico Naranja Lateral,PERON EVA 7381,Reciclables,Lunes a Domingos,19:00 a 21:00,6356572.343,5432573.554
Contenedor en vía pública,Metálico Naranja Lateral,PERON EVA 7683,Reciclables,Lunes a Domingos,19:00 a 21:00,6356690.053,5432008.25
Contenedor en vía pública,Metálico Naranja Lateral,SAN JUAN 5510,Reciclables,Lunes a Domingos,19:00 a 21:00,6355576.568,5434665.617
Contenedor en vía pública,Metálico Naranja Lateral,ROSAS BRGD. JUAN MANUEL DE 979,Reciclables,Lunes a Domingos,19:00 a 21:00,6354583.31,5440922.695
Contenedor en vía pública,Metálico Naranja Lateral,OROÑO NICASIO 1569,Reciclables,Lunes a Domingos,19:00 a 21:00,6354227.633,5438704.78
Contenedor en vía pública,Metálico Naranja Lateral,BUENOS AIRES 653,Reciclables,Lunes a Domingos,19:00 a 21:00,6354986.492,5440860.064
Contenedor en vía pública,Metálico Naranja Lateral,ESTEVEZ BOERO GUILLERMO 585,Reciclables,Lunes a Domingos,19:00 a 21:00,6355008.586,5441182.355
Contenedor en vía pública,Metálico Naranja Lateral,BALCARCE 3190,Reciclables,Lunes a Domingos,19:00 a 21:00,6352142.862,5438381.113
Contenedor en vía pública,Metálico Naranja Lateral,ROCA PTE. JULIO ARGENTINO 1183,Reciclables,Lunes a Domingos,19:00 a 21:00,6354572.154,5439562.776
Contenedor en vía pública,Metálico Naranja Lateral,BUENOS AIRES 939,Reciclables,Lunes a Domingos,19:00 a 21:00,6354667.809,5440793.779
Contenedor en vía pública,Metálico Naranja Lateral,SAN JUAN 3221,Reciclables,Lunes a Domingos,19:00 a 21:00,6355123.588,5437524.546
Contenedor en vía pública,Metálico Naranja Lateral,PERON EVA 8179,Reciclables,Lunes a Domingos,19:00 a 21:00,6356910.437,5430930.433
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 1022,Reciclables,Lunes a Domingos,19:00 a 21:00,6353758.67,5440188.771
Contenedor en vía pública,Metálico Naranja Lateral,PARAGUAY 1022,Reciclables,Lunes a Domingos,19:00 a 21:00,6354770.846,5439739.495
Contenedor en vía pública,Metálico Naranja Lateral,BROWN ALMTE. GUILLERMO 2941,Reciclables,Lunes a Domingos,19:00 a 21:00,6356499.074,5438179.707
Contenedor en vía pública,Metálico Naranja Lateral,GARZON 3850,Reciclables,Lunes a Domingos,19:00 a 21:00,6351880.416,5434155.78
Contenedor en vía pública,Metálico Naranja Lateral,CERRITO 1289,Reciclables,Lunes a Domingos,19:00 a 21:00,6353314.817,5439724.532
Contenedor en vía pública,Metálico Naranja Lateral,MORENO MARIANO 3381,Reciclables,Lunes a Domingos,19:00 a 21:00,6351868.246,5438488.801
Contenedor en vía pública,Metálico Naranja Lateral,BALCARCE 1547,Reciclables,Lunes a Domingos,19:00 a 21:00,6354233.998,5438827.722
Contenedor en vía pública,Metálico Naranja Lateral,BELGRANO GRAL. MANUEL 923,Reciclables,Lunes a Domingos,19:00 a 21:00,6355375.275,5440686.379
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 2089,Reciclables,Lunes a Domingos,19:00 a 21:00,6354027.357,5438799.171
Contenedor en vía pública,Metálico Naranja Lateral,BALCARCE 138,Reciclables,Lunes a Domingos,19:00 a 21:00,6356102.186,5439211.518
Contenedor en vía pública,Metálico Naranja Lateral,TRES DE FEBRERO 2325,Reciclables,Lunes a Domingos,19:00 a 21:00,6354597.055,5438604.285
Contenedor en vía pública,Metálico Naranja Lateral,SAN MARTIN GRAL. JOSE 553,Reciclables,Lunes a Domingos,19:00 a 21:00,6355238.16,5440519.53
Contenedor en vía pública,Metálico Naranja Lateral,CORRIENTES 551,Reciclables,Lunes a Domingos,19:00 a 21:00,6355380.19,5439998.383
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 3438,Reciclables,Lunes a Domingos,19:00 a 21:00,6354397.535,5437087.921
Contenedor en vía pública,Metálico Naranja Lateral,PARAGUAY 509,Reciclables,Lunes a Domingos,19:00 a 21:00,6355460.613,5439880.685
Contenedor en vía pública,Metálico Naranja Lateral,VIAMONTE JUAN JOSE 716,Reciclables,Lunes a Domingos,19:00 a 21:00,6352781.266,5440384.842
Contenedor en vía pública,Metálico Naranja Lateral,OROÑO NICASIO 2830,Reciclables,Lunes a Domingos,19:00 a 21:00,6352628.826,5438351.15
Contenedor en vía pública,Metálico Naranja Lateral,CORRIENTES 1355,Reciclables,Lunes a Domingos,19:00 a 21:00,6354290.88,5439775.111
Contenedor en vía pública,Metálico Naranja Lateral,SAN LUIS 1571,Reciclables,Lunes a Domingos,19:00 a 21:00,6354816.054,5439651.531
Contenedor en vía pública,Metálico Naranja Lateral,SANTA FE 4423,Reciclables,Lunes a Domingos,19:00 a 21:00,6356003.833,5436109.916
Contenedor en vía pública,Metálico Naranja Lateral,SAN MARTIN GRAL. JOSE 3612,Reciclables,Lunes a Domingos,19:00 a 21:00,6351292.244,5439759.421
Contenedor en vía pública,Metálico Naranja Lateral,SAN MARTIN GRAL. JOSE 3312,Reciclables,Lunes a Domingos,19:00 a 21:00,6351694.344,5439789.237
Contenedor en vía pública,Metálico Naranja Lateral,SAN JUAN 5118,Reciclables,Lunes a Domingos,19:00 a 21:00,6355594.718,5435122.243
Contenedor en vía pública,Metálico Naranja Lateral,SAN JUAN 4511,Reciclables,Lunes a Domingos,19:00 a 21:00,6355462.46,5435882.086
Contenedor en vía pública,Metálico Naranja Lateral,MENDOZA 7475,Reciclables,Lunes a Domingos,19:00 a 21:00,6355581.25,5432526.945
Contenedor en vía pública,Metálico Naranja Lateral,MENDOZA 5478,Reciclables,Lunes a Domingos,19:00 a 21:00,6355544.275,5434697.203
Contenedor en vía pública,Metálico Naranja Lateral,MENDOZA 4551,Reciclables,Lunes a Domingos,19:00 a 21:00,6355318.372,5435798.319
Contenedor en vía pública,Metálico Naranja Lateral,PERON EVA 7953,Reciclables,Lunes a Domingos,19:00 a 21:00,6356812.144,5431411.481
Contenedor en vía pública,Metálico Naranja Lateral,BRANDAZZA ANGEL ENRIQUE 2926,Reciclables,Lunes a Domingos,19:00 a 21:00,6352629.024,5437727.78
Contenedor en vía pública,Metálico Naranja Lateral,CATAMARCA 3038,Reciclables,Lunes a Domingos,19:00 a 21:00,6356135.685,5437980.46
Contenedor en vía pública,Metálico Naranja Lateral,ZEBALLOS DR. ESTANISLAO 2634,Reciclables,Lunes a Domingos,19:00 a 21:00,6354431.803,5438160.967
Contenedor en vía pública,Metálico Naranja Lateral,SAN JUAN 3628,Reciclables,Lunes a Domingos,19:00 a 21:00,6355230.376,5437007.287
Contenedor en vía pública,Metálico Naranja Lateral,SAN LORENZO 2387,Reciclables,Lunes a Domingos,19:00 a 21:00,6355572.46,5438722.282
Contenedor en vía pública,Metálico Naranja Lateral,URIBURU PTE. JOSE EVARISTO 412,Reciclables,Lunes a Domingos,19:00 a 21:00,6350106.741,5440270.528
Contenedor en vía pública,Metálico Naranja Lateral,SAN MARTIN GRAL. JOSE 4282,Reciclables,Lunes a Domingos,19:00 a 21:00,6350438.301,5439616.397
Contenedor en vía pública,Metálico Naranja Lateral,MENDOZA 3350,Reciclables,Lunes a Domingos,19:00 a 21:00,6355002.077,5437329.429
Contenedor en vía pública,Metálico Naranja Lateral,WHEELWRIGHT GUILLERMO 1574,Reciclables,Lunes a Domingos,19:00 a 21:00,6356122.157,5439916.935
Contenedor en vía pública,Metálico Naranja Lateral,COLON CRISTOBAL 1356,Reciclables,Lunes a Domingos,19:00 a 21:00,6353971.349,5441346.194
Contenedor en vía pública,Metálico Naranja Lateral,ENTRE RIOS 178,Reciclables,Lunes a Domingos,19:00 a 21:00,6355835.961,5440228.36
Contenedor en vía pública,Metálico Naranja Lateral,ENTRE RIOS 1145,Reciclables,Lunes a Domingos,19:00 a 21:00,6354552.416,5439964.478
Contenedor en vía pública,Metálico Naranja Lateral,COCHABAMBA 411,Reciclables,Lunes a Domingos,19:00 a 21:00,6353458.842,5440960.462
Contenedor en vía pública,Metálico Naranja Lateral,JUJUY 2407,Reciclables,Lunes a Domingos,19:00 a 21:00,6356231.845,5438833.643
Contenedor en vía pública,Metálico Naranja Lateral,ENTRE RIOS 1620,Reciclables,Lunes a Domingos,19:00 a 21:00,6353931.924,5439836.968
Contenedor en vía pública,Metálico Naranja Lateral,GUEMES MARTIN MIGUEL JUAN DE 2407,Reciclables,Lunes a Domingos,19:00 a 21:00,6356487.878,5438886.412
Contenedor en vía pública,Metálico Naranja Lateral,MONTEVIDEO 829,Reciclables,Lunes a Domingos,19:00 a 21:00,6353831.59,5440439.693
Contenedor en vía pública,Metálico Naranja Lateral,DE LA LIBERTAD 361,Reciclables,Lunes a Domingos,19:00 a 21:00,6354491.971,5441213.425
Contenedor en vía pública,Metálico Naranja Lateral,VIAMONTE JUAN JOSE 417,Reciclables,Lunes a Domingos,19:00 a 21:00,6352696.887,5440795.393
Contenedor en vía pública,Metálico Naranja Lateral,VIAMONTE JUAN JOSE 1997,Reciclables,Lunes a Domingos,19:00 a 21:00,6353120.783,5438734.22
Contenedor en vía pública,Metálico Naranja Lateral,VIAMONTE JUAN JOSE 1609,Reciclables,Lunes a Domingos,19:00 a 21:00,6353018.594,5439231.03
Contenedor en vía pública,Metálico Naranja Lateral,VIAMONTE JUAN JOSE 1312,Reciclables,Lunes a Domingos,19:00 a 21:00,6352938.85,5439618.504
Contenedor en vía pública,Metálico Naranja Lateral,VIAMONTE JUAN JOSE 136,Reciclables,Lunes a Domingos,19:00 a 21:00,6352622.258,5441158.556
Contenedor en vía pública,Metálico Naranja Lateral,VIAMONTE JUAN JOSE 1007,Reciclables,Lunes a Domingos,19:00 a 21:00,6352854.523,5440028.557
Contenedor en vía pública,Metálico Naranja Lateral,VEINTISIETE DE FEBRERO 2733,Reciclables,Lunes a Domingos,19:00 a 21:00,6353048.544,5437752.565
Contenedor en vía pública,Metálico Naranja Lateral,VEINTISIETE DE FEBRERO 2461,Reciclables,Lunes a Domingos,19:00 a 21:00,6352979.673,5438089.197
Contenedor en vía pública,Metálico Naranja Lateral,VEINTISIETE DE FEBRERO 2135,Reciclables,Lunes a Domingos,19:00 a 21:00,6352893.21,5438508.967
Contenedor en vía pública,Metálico Naranja Lateral,VEINTISIETE DE FEBRERO 1065,Reciclables,Lunes a Domingos,19:00 a 21:00,6352610.454,5439886.689
Contenedor en vía pública,Metálico Naranja Lateral,VEINTISIETE DE FEBRERO 170,Reciclables,Lunes a Domingos,19:00 a 21:00,6352385.376,5441062.542
Contenedor en vía pública,Metálico Naranja Lateral,PARAGUAY 1515,Reciclables,Lunes a Domingos,19:00 a 21:00,6354116.477,5439603.96
Contenedor en vía pública,Metálico Naranja Lateral,ALEM LEANDRO N 1176,Reciclables,Lunes a Domingos,19:00 a 21:00,6354261.267,5441136.275
Contenedor en vía pública,Metálico Naranja Lateral,PRIMERO DE MAYO 1192,Reciclables,Lunes a Domingos,19:00 a 21:00,6354263.249,5441002.065
Contenedor en vía pública,Metálico Naranja Lateral,PRIMERO DE MAYO 1574,Reciclables,Lunes a Domingos,19:00 a 21:00,6353765.864,5440900.06
Contenedor en vía pública,Metálico Naranja Lateral,NECOCHEA GRAL. MARIANO 1365,Reciclables,Lunes a Domingos,19:00 a 21:00,6353935.32,5441471.534
Contenedor en vía pública,Metálico Naranja Lateral,MITRE GENERAL BARTOLOME 571,Reciclables,Lunes a Domingos,19:00 a 21:00,6355298.644,5440255.03
Contenedor en vía pública,Metálico Naranja Lateral,MITRE GENERAL BARTOLOME 1149,Reciclables,Lunes a Domingos,19:00 a 21:00,6354518.454,5440095.034
Contenedor en vía pública,Metálico Naranja Lateral,MAIPU 724,Reciclables,Lunes a Domingos,19:00 a 21:00,6354991.209,5440618.905
Contenedor en vía pública,Metálico Naranja Lateral,ROSAS BRGD. JUAN MANUEL DE 1122,Reciclables,Lunes a Domingos,19:00 a 21:00,6354391.29,5440881.329
Contenedor en vía pública,Metálico Naranja Lateral,BUENOS AIRES 1374,Reciclables,Lunes a Domingos,19:00 a 21:00,6354078.331,5440671.521
Contenedor en vía pública,Metálico Naranja Lateral,AYACUCHO BATALLA DE 1592,Reciclables,Lunes a Domingos,19:00 a 21:00,6353690.906,5441158.668
Contenedor en vía pública,Metálico Naranja Lateral,ALEM LEANDRO N 1322,Reciclables,Lunes a Domingos,19:00 a 21:00,6354068.128,5441097.644
Contenedor en vía pública,Metálico Naranja Lateral,SAN MARTIN GRAL. JOSE 1576,Reciclables,Lunes a Domingos,19:00 a 21:00,6353900.18,5440249.205
Contenedor en vía pública,Metálico Naranja Lateral,ROCA PTE. JULIO ARGENTINO 354,Reciclables,Lunes a Domingos,19:00 a 21:00,6355689.4,5439791.461
Contenedor en vía pública,Metálico Naranja Lateral,PARAGUAY 876,Reciclables,Lunes a Domingos,19:00 a 21:00,6354988.002,5439784.109
Contenedor en vía pública,Metálico Naranja Lateral,PARAGUAY 326,Reciclables,Lunes a Domingos,19:00 a 21:00,6355699.333,5439930.663
Contenedor en vía pública,Metálico Naranja Lateral,PARAGUAY 1311,Reciclables,Lunes a Domingos,19:00 a 21:00,6354369.765,5439656.365
Contenedor en vía pública,Metálico Naranja Lateral,ENTRE RIOS 957,Reciclables,Lunes a Domingos,19:00 a 21:00,6354800.989,5440015.801
Contenedor en vía pública,Metálico Naranja Lateral,ENTRE RIOS 831,Reciclables,Lunes a Domingos,19:00 a 21:00,6354995.67,5440055.488
Contenedor en vía pública,Metálico Naranja Lateral,CORRIENTES 737,Reciclables,Lunes a Domingos,19:00 a 21:00,6355155.484,5439952.057
Contenedor en vía pública,Metálico Naranja Lateral,CORRIENTES 1514,Reciclables,Lunes a Domingos,19:00 a 21:00,6354092.992,5439733.967
Contenedor en vía pública,Metálico Naranja Lateral,BUENOS AIRES 1565,Reciclables,Lunes a Domingos,19:00 a 21:00,6353835.597,5440622.718
Contenedor en vía pública,Metálico Naranja Lateral,LA PAZ 1292,Reciclables,Lunes a Domingos,19:00 a 21:00,6353061.247,5439666.154
Contenedor en vía pública,Metálico Naranja Lateral,CATAMARCA 3319,Reciclables,Lunes a Domingos,19:00 a 21:00,6356209.673,5437618.548
Contenedor en vía pública,Metálico Naranja Lateral,RIOBAMBA 718,Reciclables,Lunes a Domingos,19:00 a 21:00,6353035.983,5440433.857
Contenedor en vía pública,Metálico Naranja Lateral,RIOBAMBA 1709,Reciclables,Lunes a Domingos,19:00 a 21:00,6353299.719,5439153.891
Contenedor en vía pública,Metálico Naranja Lateral,RIOBAMBA 1521,Reciclables,Lunes a Domingos,19:00 a 21:00,6353249.374,5439397.653
Contenedor en vía pública,Metálico Naranja Lateral,RIOBAMBA 1329,Reciclables,Lunes a Domingos,19:00 a 21:00,6353197.412,5439649.279
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 587,Reciclables,Lunes a Domingos,19:00 a 21:00,6353629.137,5440737.76
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 373,Reciclables,Lunes a Domingos,19:00 a 21:00,6353568.137,5441033.432
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 295,Reciclables,Lunes a Domingos,19:00 a 21:00,6353546.997,5441135.939
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 1775,Reciclables,Lunes a Domingos,19:00 a 21:00,6353945.632,5439197.554
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 1337,Reciclables,Lunes a Domingos,19:00 a 21:00,6353828.999,5439765.936
Contenedor en vía pública,Metálico Naranja Lateral,PELLEGRINI CARLOS 1109,Reciclables,Lunes a Domingos,19:00 a 21:00,6353767.54,5440065.331
Contenedor en vía pública,Metálico Naranja Lateral,LAPRIDA FRANCISCO NARCISO 1731,Reciclables,Lunes a Domingos,19:00 a 21:00,6353655.238,5440435.4
Contenedor en vía pública,Metálico Naranja Lateral,LA PAZ 628,Reciclables,Lunes a Domingos,19:00 a 21:00,6352883.723,5440529.171
Contenedor en vía pública,Metálico Naranja Lateral,LA PAZ 1687,Reciclables,Lunes a Domingos,19:00 a 21:00,6353167.025,5439153.611
Contenedor en vía pública,Metálico Naranja Lateral,ITUZAINGO 712,Reciclables,Lunes a Domingos,19:00 a 21:00,6353289.314,5440494.676
Contenedor en vía pública,Metálico Naranja Lateral,ITUZAINGO 1312,Reciclables,Lunes a Domingos,19:00 a 21:00,6353447.99,5439723.276
Contenedor en vía pública,Metálico Naranja Lateral,ITUZAINGO 114,Reciclables,Lunes a Domingos,19:00 a 21:00,6353125.533,5441291.688
Contenedor en vía pública,Metálico Naranja Lateral,CERRITO 374,Reciclables,Lunes a Domingos,19:00 a 21:00,6353067.075,5440930.114
Contenedor en vía pública,Metálico Naranja Lateral,CERRITO 1885,Reciclables,Lunes a Domingos,19:00 a 21:00,6353473.75,5438952.979
